G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-12-25,@,OKC,L,89,97,30,81,.370,8,28,.286,21,26,.808,14,45,18,7,4,18,25,34,72,.472,10,19,.526,19,26,.731,7,43,21,8,5,16,22,96.2,104.8,92.5,.321,.346,.481,51.1,60.0,7.6,7.5,.420,16.3,28.0,.259,.542,16.1,81.6,.264
2,2011-12-26,,HOU,W,104,95,44,83,.530,9,22,.409,7,10,.700,6,35,19,1,4,11,15,36,82,.439,6,27,.222,17,20,.850,11,41,26,4,5,9,17,117.8,107.6,88.3,.120,.265,.595,46.1,43.2,1.1,7.3,.584,11.2,16.7,.084,.476,9.0,72.5,.207
3,2011-12-29,,NJN,W,94,78,36,81,.444,9,21,.429,13,25,.520,11,46,25,8,4,13,19,29,77,.377,6,17,.353,14,21,.667,9,42,17,5,5,15,26,103.4,85.8,90.9,.309,.259,.511,52.3,69.4,8.8,6.7,.500,12.4,25.0,.160,.416,14.8,79.5,.182
4,2011-12-30,@,CHA,W,100,79,37,84,.440,12,28,.429,14,24,.583,14,49,23,3,7,11,16,30,83,.361,5,15,.333,14,18,.778,12,41,19,6,3,12,23,113.7,89.8,88.0,.286,.333,.529,54.4,62.2,3.4,10.3,.512,10.4,32.6,.167,.392,11.7,74.5,.169
5,2012-01-01,,TOR,W,102,96,37,75,.493,12,27,.444,16,24,.667,8,33,20,4,6,12,22,32,70,.457,5,13,.385,27,29,.931,5,33,23,4,2,11,27,117.7,110.7,86.7,.320,.360,.596,50.0,54.1,4.6,10.5,.573,12.3,22.2,.213,.493,11.7,83.3,.386
6,2012-01-02,@,DET,L,78,89,28,63,.444,8,22,.364,14,21,.667,7,28,20,12,3,17,24,31,62,.500,2,8,.250,25,33,.758,11,39,19,8,3,17,19,96.5,110.1,80.9,.333,.349,.540,41.8,71.4,14.8,5.6,.508,19.0,20.0,.222,.516,18.2,65.6,.403
7,2012-01-04,,WAS,W,103,85,39,85,.459,8,19,.421,17,25,.680,17,54,27,4,3,15,13,34,93,.366,2,12,.167,15,18,.833,14,44,12,7,8,9,21,111.9,92.4,92.0,.294,.224,.536,55.1,69.2,4.3,3.7,.506,13.5,36.2,.200,.376,8.2,72.5,.161
8,2012-01-06,,CHI,L,83,97,30,75,.400,7,20,.350,16,21,.762,9,37,15,5,3,17,16,38,86,.442,8,14,.571,13,17,.765,14,46,27,10,4,12,18,93.5,109.3,88.8,.280,.267,.493,44.6,50.0,5.6,4.2,.447,16.8,22.0,.213,.488,11.4,66.7,.151
9,2012-01-08,@,SAC,W,104,97,37,87,.425,10,32,.313,20,31,.645,17,43,24,10,1,10,20,38,73,.521,3,20,.150,18,24,.750,10,45,16,4,5,17,24,114.8,107.1,90.6,.356,.368,.517,48.9,64.9,11.0,1.9,.483,9.0,32.7,.230,.541,16.9,72.2,.247
10,2012-01-11,@,POR,W,107,104,41,70,.586,16,27,.593,9,19,.474,6,42,25,2,1,18,15,41,86,.477,10,25,.400,12,13,.923,7,32,23,7,0,7,16,118.9,115.6,90.0,.271,.386,.683,56.8,61.0,2.2,1.6,.700,18.7,19.4,.129,.535,7.1,83.7,.140
