G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-10-31,@,TOR,W,90,88,37,78,.474,5,11,.455,11,16,.688,9,46,22,3,10,18,16,33,91,.363,6,17,.353,16,19,.842,15,42,18,12,8,10,18,98.8,96.6,91.1,.205,.141,.529,52.3,59.5,3.3,13.5,.506,17.5,25.0,.141,.396,9.1,71.2,.176
2,2012-11-02,@,CHA,L,89,90,33,83,.398,7,26,.269,16,27,.593,14,52,19,5,5,17,16,31,85,.365,7,19,.368,21,24,.875,10,41,18,10,9,10,22,95.3,96.4,93.4,.325,.313,.469,55.9,57.6,5.4,7.6,.440,15.2,31.1,.193,.406,9.5,79.2,.247
3,2012-11-03,,SAC,W,106,98,39,99,.394,4,22,.182,24,27,.889,21,67,16,10,14,21,19,37,102,.363,8,22,.364,16,20,.800,16,47,19,15,13,16,26,99.6,92.1,88.1,.273,.222,.478,58.8,41.0,9.4,17.5,.414,15.9,40.4,.242,.402,12.6,74.2,.157
4,2012-11-05,@,SAS,L,79,101,27,79,.342,6,20,.300,19,22,.864,17,48,11,3,7,19,17,41,87,.471,8,18,.444,11,13,.846,11,45,25,11,2,8,17,90.0,115.1,87.8,.278,.253,.445,51.6,40.7,3.4,10.1,.380,17.6,33.3,.241,.517,7.9,73.8,.126
5,2012-11-07,@,ATL,L,86,89,35,85,.412,8,26,.308,8,9,.889,11,41,18,10,7,15,14,38,87,.437,7,22,.318,6,12,.500,17,51,24,8,3,17,15,95.4,98.7,90.2,.106,.306,.483,44.6,51.4,11.1,10.8,.459,14.4,24.4,.094,.477,15.6,63.8,.069
6,2012-11-09,@,MIN,L,94,96,37,84,.440,5,18,.278,15,17,.882,11,37,18,7,4,13,21,35,70,.500,2,9,.222,24,28,.857,5,34,23,7,5,12,16,106.1,108.4,88.6,.202,.214,.514,52.1,48.6,7.9,6.6,.470,12.4,27.5,.179,.514,12.7,83.9,.343
7,2012-11-10,,WAS,W,89,85,34,80,.425,7,16,.438,14,24,.583,14,48,16,4,4,12,12,35,79,.443,10,24,.417,5,7,.714,5,40,26,5,5,12,21,101.5,97.0,87.7,.300,.200,.491,54.5,47.1,4.6,7.3,.469,11.7,28.6,.175,.506,12.8,87.2,.063
8,2012-11-13,,TOR,L,72,74,24,75,.320,5,15,.333,19,25,.760,14,49,14,8,7,12,16,26,72,.361,6,12,.500,16,19,.842,8,45,13,4,1,12,23,87.6,90.0,82.2,.333,.200,.419,52.1,58.3,9.7,11.7,.353,12.2,27.5,.253,.403,13.0,81.4,.222
9,2012-11-14,@,MIL,L,85,99,30,80,.375,5,20,.250,20,31,.645,16,53,19,3,4,19,18,38,91,.418,3,16,.188,20,25,.800,14,46,24,11,8,6,22,91.9,107.0,92.5,.388,.250,.454,53.5,63.3,3.2,5.3,.406,16.9,33.3,.250,.434,5.6,72.5,.220
10,2012-11-16,,DAL,W,103,83,39,83,.470,6,16,.375,19,31,.613,10,46,23,11,5,8,15,30,81,.370,2,13,.154,21,25,.840,8,44,16,3,5,11,23,111.2,89.6,92.6,.373,.193,.533,51.1,59.0,11.9,7.4,.506,7.6,21.7,.229,.383,10.7,81.8,.259
11,2012-11-18,@,NYK,L,76,88,28,71,.394,8,20,.400,12,18,.667,9,47,21,4,7,19,18,33,90,.367,7,25,.280,15,19,.789,15,48,19,9,4,8,15,86.5,100.2,87.8,.254,.282,.482,49.5,75.0,4.6,10.8,.451,19.4,21.4,.169,.406,7.5,71.7,.167
