G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2015-10-28,@,PHO,W,111,95,40,85,.471,10,21,.476,21,31,.677,6,48,24,7,3,8,25,34,87,.391,6,24,.250,21,33,.636,13,53,15,3,3,18,30,108.9,93.2,102.0,.365,.247,.563,47.5,60.0,6.9,4.8,.529,7.5,13.0,.247,.425,15.1,76.4,.241
2,2015-10-29,@,LAC,L,88,104,35,97,.361,6,30,.200,12,15,.800,14,55,22,4,2,12,26,38,87,.437,8,31,.258,20,33,.606,8,53,21,6,8,8,17,88.5,104.6,99.4,.155,.309,.425,50.9,62.9,4.0,3.6,.392,10.4,23.7,.124,.483,7.3,83.7,.230
3,2015-11-01,@,LAL,W,103,93,40,87,.460,11,30,.367,12,16,.750,8,49,28,5,4,11,22,31,85,.365,10,34,.294,21,28,.750,8,42,18,8,9,12,20,106.4,96.1,96.8,.184,.345,.548,53.8,70.0,5.2,7.8,.523,10.5,19.0,.138,.424,11.0,83.7,.247
4,2015-11-03,,TOR,L,91,102,33,86,.384,7,23,.304,18,25,.720,14,44,20,5,3,15,25,37,82,.451,5,17,.294,23,26,.885,10,47,18,8,6,16,26,94.9,106.4,95.9,.291,.267,.469,48.4,60.6,5.2,4.6,.424,13.4,27.5,.209,.482,14.6,75.0,.280
5,2015-11-05,,CHO,L,94,108,32,82,.390,6,29,.207,24,27,.889,8,44,17,8,2,13,13,44,89,.494,6,27,.222,14,17,.824,8,48,19,8,6,11,25,96.4,110.8,97.5,.329,.354,.501,47.8,53.1,8.2,3.2,.427,12.2,16.7,.293,.528,10.2,81.8,.157
6,2015-11-07,,NOP,W,107,98,40,84,.476,9,24,.375,18,22,.818,6,42,20,5,2,9,17,39,86,.453,9,28,.321,11,13,.846,7,42,21,7,6,12,24,112.7,103.2,95.0,.262,.286,.571,50.0,50.0,5.3,3.4,.530,8.8,14.6,.214,.506,11.6,83.7,.128
7,2015-11-10,@,NOP,L,105,120,39,88,.443,5,20,.250,22,26,.846,8,44,20,4,4,13,17,46,92,.500,14,33,.424,14,18,.778,9,48,25,9,5,11,27,103.5,118.3,101.4,.295,.227,.528,47.8,51.3,3.9,6.8,.472,11.6,17.0,.250,.576,9.9,80.0,.152
8,2015-11-11,,LAC,W,118,108,42,76,.553,11,24,.458,23,30,.767,8,44,23,8,3,13,29,37,86,.430,12,27,.444,22,33,.667,13,41,21,4,2,10,24,125.4,114.8,94.1,.395,.316,.661,51.8,54.8,8.5,5.1,.625,12.7,22.2,.303,.500,9.0,73.5,.256
9,2015-11-13,,LAL,W,90,82,30,82,.366,7,27,.259,23,29,.793,7,48,19,9,4,15,15,29,88,.330,9,27,.333,15,18,.833,15,57,18,10,7,20,27,90.5,82.4,99.5,.354,.329,.475,45.7,63.3,9.0,6.6,.409,13.7,14.3,.280,.381,17.3,73.2,.170
10,2015-11-14,@,HOU,W,110,98,43,89,.483,8,28,.286,16,21,.762,8,45,24,6,7,11,21,32,84,.381,9,34,.265,25,32,.781,12,43,22,9,5,12,23,113.7,101.3,96.7,.236,.315,.560,51.1,55.8,6.2,14.0,.528,10.1,20.5,.180,.435,10.9,75.5,.298
11,2015-11-16,@,PHI,W,92,86,30,76,.395,7,24,.292,25,30,.833,6,39,16,12,2,19,23,34,76,.447,5,22,.227,13,20,.650,8,46,16,9,4,27,29,90.9,84.9,101.3,.395,.316,.516,45.9,53.3,11.9,3.7,.441,17.6,13.6,.329,.480,24.2,80.5,.171
12,2015-11-18,@,BOS,W,106,102,37,72,.514,7,20,.350,25,35,.714,7,39,22,7,7,17,22,38,92,.413,8,26,.308,18,24,.750,14,43,22,12,1,14,28,109.4,105.3,96.9,.486,.278,.606,47.6,59.5,7.2,10.6,.563,16.3,19.4,.347,.457,12.0,69.6,.196
13,2015-11-20,,UTA,W,102,93,39,83,.470,8,28,.286,16,17,.941,8,34,24,10,5,8,19,35,80,.438,6,20,.300,17,21,.810,18,48,14,4,2,17,24,117.5,107.1,86.8,.205,.337,.564,41.5,61.5,11.5,8.3,.518,8.1,21.1,.193,.475,16.0,59.1,.213
14,2015-11-22,@,OKC,L,114,117,44,83,.530,10,19,.526,16,28,.571,9,36,26,8,4,17,17,47,90,.522,9,22,.409,14,18,.778,14,41,25,8,6,16,23,115.0,118.0,99.1,.337,.229,.598,46.8,59.1,8.1,5.9,.590,15.1,25.0,.193,.572,14.0,65.9,.156
15,2015-11-24,@,MEM,L,96,110,30,77,.390,11,34,.324,25,28,.893,4,48,22,4,6,19,25,37,86,.430,7,21,.333,29,37,.784,5,42,20,12,4,9,24,92.9,106.4,103.4,.364,.442,.537,53.3,73.3,3.9,9.2,.461,17.5,9.8,.325,.471,8.1,89.8,.337
16,2015-11-25,@,SAS,L,83,88,34,83,.410,6,22,.273,9,12,.750,9,46,21,7,1,13,21,33,81,.407,8,28,.286,14,19,.737,12,52,23,6,4,13,12,92.1,97.7,90.1,.145,.265,.470,46.9,61.8,7.8,1.9,.446,12.8,18.4,.108,.457,12.7,75.5,.173
17,2015-11-28,,DEN,W,92,81,33,77,.429,7,26,.269,19,27,.704,10,42,18,13,3,13,14,30,75,.400,8,25,.320,13,17,.765,10,45,17,9,5,20,22,101.8,89.7,90.3,.351,.338,.518,48.3,54.5,14.4,6.0,.474,12.8,22.2,.247,.453,19.5,76.2,.173
18,2015-11-30,@,SAC,L,98,112,36,84,.429,9,37,.243,17,22,.773,9,40,22,8,3,16,30,36,79,.456,9,31,.290,31,44,.705,9,42,22,1,1,11,18,100.5,114.8,97.5,.262,.440,.523,48.8,61.1,8.2,6.3,.482,14.6,21.4,.202,.513,10.1,77.5,.392
19,2015-12-01,@,POR,W,115,112,43,94,.457,9,29,.310,20,24,.833,12,49,23,7,5,12,17,41,100,.410,15,40,.375,15,17,.882,13,50,24,6,1,15,23,110.8,107.9,94.0,.255,.309,.550,49.5,53.5,6.7,8.3,.505,10.3,24.5,.213,.485,12.2,74.0,.150
20,2015-12-04,,HOU,L,96,100,37,81,.457,8,29,.276,14,20,.700,11,42,23,8,5,17,17,39,84,.464,12,26,.462,10,18,.556,15,45,20,12,5,18,22,102.7,107.0,93.4,.247,.358,.535,48.3,62.2,8.6,8.6,.506,15.9,26.8,.173,.536,16.4,67.4,.119
21,2015-12-06,@,WAS,W,116,104,38,76,.500,16,31,.516,24,27,.889,6,50,25,5,4,16,17,42,89,.472,8,27,.296,12,21,.571,6,31,22,9,0,6,22,120.6,108.2,96.1,.355,.408,.660,61.7,65.8,5.2,6.5,.605,15.4,19.4,.316,.517,5.8,88.0,.135
22,2015-12-07,@,NYK,W,104,97,37,82,.451,13,31,.419,17,20,.850,7,43,21,7,3,9,14,40,84,.476,9,25,.360,8,9,.889,3,37,25,4,4,13,21,110.8,103.3,93.9,.244,.378,.573,53.8,56.8,7.5,5.1,.530,9.0,17.1,.207,.530,12.9,92.3,.095
23,2015-12-09,,ATL,L,95,98,36,100,.360,7,31,.226,16,19,.842,20,51,18,7,3,9,15,39,81,.481,6,20,.300,14,18,.778,6,47,26,7,7,14,19,100.5,103.7,94.5,.190,.310,.438,52.0,50.0,7.4,4.9,.395,7.7,32.8,.160,.519,13.6,83.8,.173
24,2015-12-12,,WAS,L,111,114,38,89,.427,14,33,.424,21,24,.875,11,46,23,5,3,12,12,44,85,.518,14,29,.483,12,15,.800,4,39,33,6,6,13,22,112.7,115.7,98.5,.270,.371,.557,54.1,60.5,5.1,5.4,.506,10.8,23.9,.236,.600,12.4,89.7,.141
25,2015-12-14,,PHO,W,104,94,38,77,.494,12,32,.375,16,21,.762,5,41,17,12,1,16,22,33,80,.413,9,25,.360,19,27,.704,12,47,19,9,5,16,23,109.2,98.7,95.2,.273,.416,.603,46.6,44.7,12.6,1.8,.571,15.6,12.5,.208,.469,14.8,75.0,.238
26,2015-12-16,@,IND,L,81,107,33,90,.367,8,33,.242,7,10,.700,11,47,16,2,3,11,16,43,89,.483,11,29,.379,10,17,.588,5,47,28,9,4,8,17,85.2,112.5,95.1,.111,.367,.429,50.0,48.5,2.1,5.0,.411,10.4,20.8,.078,.545,7.7,87.8,.112
27,2015-12-18,,MEM,W,97,88,34,78,.436,10,29,.345,19,21,.905,11,50,27,7,4,19,17,30,80,.375,6,17,.353,22,24,.917,10,39,13,11,3,12,19,105.9,96.1,91.6,.269,.372,.556,56.2,79.4,7.6,6.3,.500,17.9,27.5,.244,.413,11.7,79.6,.275
28,2015-12-22,@,TOR,L,99,103,40,92,.435,11,29,.379,8,11,.727,4,34,23,8,7,6,25,35,74,.473,12,26,.462,21,27,.778,10,53,20,4,4,17,19,104.7,109.0,94.5,.120,.315,.511,39.1,57.5,8.5,14.6,.495,5.8,8.5,.087,.554,16.5,75.0,.284
29,2015-12-23,@,BRK,W,119,118,45,82,.549,16,34,.471,13,15,.867,5,34,27,3,4,17,18,51,101,.505,10,19,.526,6,14,.429,15,43,32,9,4,11,17,120.0,119.0,89.8,.183,.415,.672,44.2,60.0,3.0,4.9,.646,16.1,15.2,.159,.554,9.3,65.9,.059
30,2015-12-26,,CHI,W,118,111,40,87,.460,16,33,.485,22,28,.786,16,42,24,10,1,11,25,42,78,.538,8,21,.381,19,26,.731,13,41,20,7,7,17,23,128.6,121.0,91.7,.322,.379,.594,50.6,60.0,10.9,1.8,.552,10.0,36.4,.253,.590,16.0,66.7,.244
31,2015-12-28,,MIL,W,103,93,38,84,.452,10,22,.455,17,26,.654,6,34,25,9,2,4,15,38,79,.481,4,14,.286,13,15,.867,9,52,14,4,5,17,22,112.1,101.3,91.9,.310,.262,.540,39.5,65.8,9.8,3.1,.512,4.0,12.2,.202,.506,16.6,75.7,.165
32,2015-12-30,,GSW,W,114,91,42,82,.512,14,27,.519,16,20,.800,12,52,20,6,4,15,19,33,81,.407,7,19,.368,18,24,.750,8,37,20,9,0,12,18,122.2,97.6,93.3,.244,.329,.628,58.4,47.6,6.4,6.5,.598,14.2,29.3,.195,.451,11.6,83.3,.222
33,2016-01-01,@,MIA,L,82,106,32,88,.364,7,31,.226,11,14,.786,13,40,22,6,3,9,11,46,82,.561,8,18,.444,6,9,.667,8,50,24,4,1,12,16,92.5,119.6,88.6,.159,.352,.435,44.4,68.8,6.8,4.7,.403,8.7,23.6,.125,.610,12.2,77.1,.073
34,2016-01-02,,NOP,L,98,105,36,83,.434,10,26,.385,16,19,.842,3,33,20,10,2,13,17,40,83,.482,6,20,.300,19,24,.792,9,53,19,8,2,19,19,97.3,104.3,100.7,.229,.313,.536,38.4,55.6,9.9,3.2,.494,12.5,6.4,.193,.518,16.9,76.9,.229
35,2016-01-05,,SAC,W,117,116,45,98,.459,12,29,.414,15,23,.652,13,55,22,13,2,17,18,47,99,.475,12,32,.375,10,14,.714,9,49,27,16,1,19,21,104.4,103.5,92.7,.235,.296,.541,52.9,48.9,11.6,3.0,.520,13.6,24.5,.153,.535,15.3,82.4,.101
36,2016-01-06,@,NOP,W,100,91,37,87,.425,7,28,.250,19,22,.864,11,52,22,7,6,10,18,34,92,.370,7,30,.233,16,20,.800,15,51,22,7,5,10,18,107.1,97.5,93.3,.253,.322,.517,50.5,59.5,7.5,9.7,.466,9.4,23.4,.218,.408,9.0,73.2,.174
37,2016-01-08,@,MIL,L,95,96,35,84,.417,14,44,.318,11,16,.688,16,42,27,6,5,16,21,37,80,.463,4,9,.444,18,29,.621,15,43,24,11,4,15,20,107.3,108.4,88.6,.190,.524,.522,49.4,77.1,6.8,7.0,.500,14.9,36.4,.131,.488,13.9,63.4,.225
38,2016-01-10,@,MIN,W,93,87,36,77,.468,6,20,.300,15,21,.714,11,39,20,7,3,13,19,33,79,.418,4,16,.250,17,22,.773,11,38,23,8,2,16,25,105.9,99.1,87.8,.273,.260,.539,50.6,55.6,8.0,4.8,.506,13.1,28.9,.195,.443,15.3,71.8,.215
39,2016-01-12,,CLE,L,107,110,39,79,.494,11,28,.393,18,22,.818,7,44,25,4,7,16,16,40,97,.412,17,44,.386,13,16,.813,17,46,28,12,4,9,21,113.4,116.6,85.4,.278,.354,.603,48.9,64.1,4.2,13.2,.563,15.3,19.4,.228,.500,8.0,68.5,.134
40,2016-01-13,@,OKC,L,89,108,32,82,.390,6,31,.194,19,25,.760,8,41,18,7,3,16,20,38,82,.463,15,33,.455,17,29,.586,13,54,24,11,5,18,26,90.1,109.3,98.8,.305,.378,.478,43.2,56.3,7.1,6.1,.427,14.7,16.3,.232,.555,16.0,71.7,.207
41,2016-01-15,@,CHI,W,83,77,30,77,.390,8,22,.364,15,17,.882,7,43,20,1,6,9,16,31,86,.360,2,19,.105,13,15,.867,12,47,16,6,2,8,19,97.8,90.7,84.9,.221,.286,.491,47.8,66.7,1.2,9.0,.442,9.6,16.7,.195,.372,8.0,75.0,.151
42,2016-01-17,@,SAS,L,83,112,29,81,.358,6,23,.261,19,25,.760,5,45,20,4,6,13,23,42,90,.467,5,20,.250,23,28,.821,6,51,22,7,5,7,21,83.0,112.0,100.0,.309,.284,.451,46.9,69.0,4.0,8.6,.395,12.4,10.0,.235,.494,6.4,87.0,.256
43,2016-01-18,,BOS,W,118,113,40,93,.430,16,34,.471,22,24,.917,11,51,23,4,2,14,21,40,94,.426,12,30,.400,21,26,.808,13,49,24,9,3,12,30,114.8,109.9,93.1,.258,.366,.570,51.0,57.5,3.9,3.1,.516,11.9,23.4,.237,.489,10.2,75.5,.223
44,2016-01-20,,MIN,W,106,94,42,97,.433,5,25,.200,17,22,.773,9,46,18,11,2,11,15,40,91,.440,5,23,.217,9,11,.818,10,52,26,4,9,17,21,102.3,90.7,93.8,.227,.258,.497,46.9,42.9,10.6,2.9,.459,9.3,17.6,.175,.467,15.1,78.7,.099
45,2016-01-22,,OKC,L,106,109,40,87,.460,10,33,.303,16,18,.889,7,33,24,9,6,8,15,45,91,.495,8,30,.267,11,15,.733,17,47,18,3,6,14,19,115.1,118.3,92.1,.207,.379,.558,41.3,60.0,9.8,9.8,.517,7.8,18.9,.184,.538,12.5,60.5,.121
46,2016-01-24,@,HOU,L,104,115,36,79,.456,15,30,.500,17,22,.773,8,36,17,4,4,14,20,43,89,.483,15,44,.341,14,21,.667,9,40,27,9,7,7,21,112.6,124.5,92.4,.278,.380,.586,47.4,47.2,4.3,8.9,.551,13.6,20.5,.215,.567,6.7,75.7,.157
47,2016-01-26,@,LAL,W,92,90,33,76,.434,6,25,.240,20,26,.769,5,35,21,5,1,6,20,30,74,.405,7,25,.280,23,28,.821,8,47,15,4,7,12,25,105.5,103.2,87.2,.342,.329,.526,42.7,63.6,5.7,2.0,.474,6.4,11.4,.263,.453,12.2,78.9,.311
48,2016-01-27,@,GSW,L,107,127,44,87,.506,11,31,.355,8,12,.667,8,34,20,4,0,10,21,47,81,.580,14,29,.483,19,21,.905,7,40,33,5,4,9,18,116.6,138.4,91.8,.138,.356,.580,45.9,45.5,4.4,0.0,.569,9.8,19.5,.092,.667,9.1,78.8,.235
49,2016-01-29,,BRK,W,91,79,37,80,.463,8,21,.381,9,15,.600,10,49,22,6,5,12,17,28,78,.359,4,20,.200,19,23,.826,10,44,13,10,2,10,14,104.7,90.9,86.9,.188,.263,.525,52.7,59.5,6.9,8.6,.513,12.2,22.7,.113,.385,10.2,79.6,.244
