G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-10-25,@,CLE,L,88,117,32,87,.368,9,27,.333,15,20,.750,13,42,17,6,6,18,22,45,94,.479,13,35,.371,14,19,.737,11,51,31,12,5,14,22,88.1,117.1,99.9,.230,.310,.459,45.2,53.1,6.0,10.2,.420,15.8,24.5,.172,.548,12.0,72.5,.149
2,2016-10-29,,MEM,W,111,104,40,76,.526,6,21,.286,25,39,.641,6,41,24,4,4,12,25,37,86,.430,9,25,.360,21,26,.808,11,40,19,3,2,12,30,115.1,107.9,96.4,.513,.276,.596,50.6,60.0,4.1,6.6,.566,11.4,17.1,.329,.483,11.0,76.1,.244
3,2016-11-01,@,DET,L,89,102,35,86,.407,7,22,.318,12,15,.800,8,43,18,6,9,11,20,41,89,.461,8,13,.615,12,21,.571,10,48,19,7,5,10,16,93.9,107.7,94.7,.174,.256,.481,47.3,51.4,6.3,11.8,.448,10.6,17.4,.140,.506,9.2,77.8,.135
4,2016-11-02,,HOU,L,99,118,37,85,.435,8,20,.400,17,25,.680,7,34,18,10,6,16,22,42,89,.472,15,40,.375,19,27,.704,19,54,25,12,8,19,21,98.8,117.7,100.2,.294,.235,.516,38.6,48.6,10.0,12.2,.482,14.3,16.7,.200,.556,15.8,58.7,.213
5,2016-11-04,@,CHI,W,117,104,46,89,.517,9,21,.429,16,21,.762,11,40,32,7,2,5,23,37,84,.440,8,23,.348,22,27,.815,15,42,15,4,4,12,16,130.9,116.4,89.4,.236,.236,.595,48.8,69.6,7.8,3.3,.567,4.8,28.9,.180,.488,11.1,65.9,.262
6,2016-11-06,,UTA,L,109,114,42,83,.506,8,20,.400,17,19,.895,10,39,18,8,5,12,26,38,75,.507,8,25,.320,30,35,.857,7,34,21,6,4,10,19,119.8,125.2,91.0,.229,.241,.597,53.4,42.9,8.8,10.0,.554,11.6,27.0,.205,.560,10.0,80.6,.400
7,2016-11-09,,BRK,W,110,96,44,92,.478,10,30,.333,12,17,.706,9,50,25,11,5,14,21,33,79,.418,11,33,.333,19,27,.704,7,40,19,9,4,18,20,108.7,94.9,101.2,.185,.326,.553,55.6,56.8,10.9,10.9,.533,12.3,21.4,.130,.487,16.5,85.4,.241
8,2016-11-11,@,BOS,L,87,115,33,94,.351,6,23,.261,15,17,.882,21,57,19,7,11,25,26,35,90,.389,11,27,.407,34,43,.791,19,53,23,16,3,15,18,85.8,113.4,101.4,.181,.245,.429,51.8,57.6,6.9,17.5,.383,19.8,38.2,.160,.450,12.1,65.5,.378
9,2016-11-12,@,TOR,L,107,118,44,97,.454,7,23,.304,12,16,.750,17,49,19,3,2,16,23,39,83,.470,7,22,.318,33,38,.868,11,44,18,10,6,11,20,108.5,119.6,98.6,.165,.237,.514,52.7,43.2,3.0,3.3,.490,13.3,34.0,.124,.512,9.9,74.4,.398
10,2016-11-14,,DAL,W,93,77,34,78,.436,9,25,.360,16,18,.889,14,51,18,5,5,17,16,32,84,.381,5,27,.185,8,11,.727,11,40,15,8,7,11,16,107.2,88.8,86.8,.231,.321,.541,56.0,52.9,5.8,8.8,.494,16.5,32.6,.205,.411,11.0,77.1,.095
11,2016-11-16,,DET,W,105,102,42,93,.452,9,25,.360,12,19,.632,19,52,24,8,9,9,11,42,85,.494,8,23,.348,10,12,.833,8,40,19,6,1,10,14,116.6,113.3,90.0,.204,.269,.518,56.5,57.1,8.9,14.5,.500,8.2,37.3,.129,.541,10.0,80.5,.118
12,2016-11-17,@,WAS,L,112,119,41,86,.477,12,29,.414,18,20,.900,10,36,23,9,1,13,20,44,81,.543,15,25,.600,16,18,.889,7,37,26,7,2,15,21,118.0,125.4,94.9,.233,.337,.591,49.3,56.1,9.5,1.8,.547,12.1,25.0,.209,.636,14.4,78.8,.198
13,2016-11-20,,ATL,W,104,94,42,88,.477,10,27,.370,10,14,.714,11,50,21,8,1,15,23,34,85,.400,6,21,.286,20,29,.690,14,48,17,7,6,13,15,108.5,98.0,95.9,.159,.307,.552,51.0,50.0,8.3,1.6,.534,13.7,24.4,.114,.435,11.7,73.6,.235
14,2016-11-22,,POR,W,107,103,45,96,.469,9,29,.310,8,8,1.000,10,43,26,8,5,13,23,38,86,.442,6,22,.273,21,26,.808,11,44,18,5,5,16,13,107.5,103.5,99.5,.083,.302,.538,49.4,57.8,8.0,7.8,.516,11.6,23.3,.083,.477,14.1,75.0,.244
15,2016-11-25,,CHO,W,113,111,45,97,.464,11,28,.393,12,13,.923,13,55,26,9,8,16,21,43,93,.462,8,29,.276,17,27,.630,10,46,25,6,4,13,14,107.6,105.7,95.1,.134,.289,.550,54.5,57.8,8.6,12.5,.521,13.5,26.5,.124,.505,11.0,80.8,.183
16,2016-11-26,@,CHO,L,102,107,37,99,.374,12,32,.375,16,20,.800,11,47,26,9,6,8,27,35,80,.438,8,22,.364,29,42,.690,10,52,16,3,9,10,14,103.3,108.3,98.8,.202,.323,.473,47.5,70.3,9.1,10.3,.434,6.9,20.8,.162,.488,9.2,78.3,.363
17,2016-11-28,,OKC,L,103,112,36,91,.396,6,19,.316,25,28,.893,12,40,20,9,11,5,16,46,92,.500,8,22,.364,12,18,.667,17,53,25,4,7,14,22,110.1,119.7,93.5,.308,.209,.498,43.0,55.6,9.6,15.7,.429,4.6,25.0,.275,.543,12.3,62.2,.130
18,2016-11-30,@,MIN,W,106,104,41,91,.451,13,32,.406,11,15,.733,12,39,24,8,3,13,26,34,77,.442,4,19,.211,32,39,.821,11,40,17,9,5,15,17,112.4,110.3,94.3,.165,.352,.543,49.4,58.5,8.5,5.2,.522,11.8,29.3,.121,.468,13.7,71.1,.416
19,2016-12-02,,MIN,W,118,114,41,86,.477,12,31,.387,24,30,.800,11,43,26,9,6,15,18,41,88,.466,10,28,.357,22,24,.917,13,43,25,6,6,14,25,119.7,115.6,98.6,.349,.360,.595,50.0,63.4,9.1,10.0,.547,13.1,26.8,.279,.523,12.4,71.1,.250
20,2016-12-04,,SAC,W,106,98,39,88,.443,11,29,.379,17,24,.708,14,58,20,5,10,18,25,31,97,.320,9,28,.321,27,31,.871,18,51,18,13,5,11,17,106.1,98.1,99.9,.273,.330,.538,53.2,51.3,5.0,14.5,.506,15.4,29.8,.193,.366,9.0,71.0,.278
21,2016-12-06,@,MIA,W,114,103,48,98,.490,7,25,.280,11,16,.688,18,53,22,6,6,10,18,38,89,.427,11,25,.440,16,27,.593,16,46,21,8,4,10,16,121.9,110.2,93.5,.163,.255,.543,53.5,45.8,6.4,9.4,.526,8.7,37.5,.112,.489,9.0,68.6,.180
22,2016-12-07,,CLE,L,94,126,35,87,.402,11,31,.355,13,15,.867,13,43,22,6,3,16,22,39,80,.488,22,40,.550,26,31,.839,10,46,23,11,4,12,18,100.2,134.3,93.8,.172,.356,.502,48.3,62.9,6.4,7.5,.466,14.6,26.5,.149,.625,11.4,75.0,.325
23,2016-12-09,@,SAC,W,103,100,36,84,.429,10,29,.345,21,25,.840,12,54,22,3,6,16,25,35,87,.402,7,28,.250,23,27,.852,6,39,24,10,1,7,20,106.1,103.0,97.1,.298,.345,.542,58.1,61.1,3.1,10.2,.488,14.4,26.7,.250,.443,6.6,87.5,.264
24,2016-12-11,@,LAL,W,118,112,41,84,.488,10,22,.455,26,31,.839,8,44,21,9,11,10,15,42,88,.477,10,28,.357,18,22,.818,9,41,26,7,1,14,22,119.1,113.0,99.1,.369,.262,.604,51.8,51.2,9.1,18.3,.548,9.3,20.0,.310,.534,12.5,80.0,.205
25,2016-12-13,@,PHO,L,111,113,38,97,.392,7,20,.350,28,38,.737,11,43,23,10,4,13,27,38,93,.409,9,30,.300,28,33,.848,16,61,13,9,7,17,28,102.6,104.4,98.0,.392,.206,.488,41.3,60.5,9.2,6.3,.428,10.3,19.6,.289,.457,13.7,66.7,.301
26,2016-12-15,@,GSW,L,90,103,38,93,.409,5,21,.238,9,19,.474,14,49,19,10,5,11,10,45,96,.469,9,32,.281,4,8,.500,15,57,41,7,10,17,17,91.5,104.7,98.4,.204,.226,.444,46.2,50.0,10.2,7.8,.435,9.8,25.0,.097,.516,14.6,70.0,.042
27,2016-12-17,@,DEN,L,114,127,35,80,.438,8,23,.348,36,39,.923,9,35,18,6,4,11,27,50,90,.556,10,27,.370,17,29,.586,11,41,26,6,7,10,27,117.3,130.7,97.2,.488,.288,.587,46.1,51.4,6.2,6.3,.488,10.2,23.1,.450,.611,8.9,70.3,.189
28,2016-12-20,,IND,W,118,111,44,88,.500,13,23,.565,17,21,.810,4,45,24,6,8,14,18,39,91,.429,6,23,.261,27,33,.818,11,44,22,10,5,9,14,114.2,107.4,103.4,.239,.261,.607,50.6,54.5,5.8,11.8,.574,12.6,10.8,.193,.462,7.9,78.8,.297
29,2016-12-22,,ORL,W,106,95,41,96,.427,9,20,.450,15,17,.882,18,52,26,9,9,15,18,39,90,.433,5,27,.185,12,16,.750,10,41,21,7,7,16,14,108.1,96.9,98.1,.177,.208,.512,55.9,63.4,9.2,14.3,.474,12.7,36.7,.156,.461,14.2,77.3,.133
30,2016-12-25,,BOS,L,114,119,41,87,.471,8,23,.348,24,27,.889,17,49,11,5,6,17,23,45,93,.484,14,36,.389,15,20,.750,12,39,25,10,2,5,20,121.4,126.7,93.9,.310,.264,.576,55.7,26.8,5.3,10.5,.517,14.7,38.6,.276,.559,4.7,72.7,.161
31,2016-12-28,@,ATL,L,98,102,35,93,.376,7,27,.259,21,26,.808,14,55,20,8,7,17,23,37,101,.366,7,27,.259,21,27,.778,17,55,19,8,3,13,19,94.0,97.9,94.4,.280,.290,.469,50.0,57.1,7.7,9.5,.414,14.0,26.9,.226,.401,10.3,70.7,.208
32,2016-12-30,@,NOP,L,92,104,35,93,.376,7,23,.304,15,16,.938,10,50,18,7,6,14,18,38,85,.447,12,29,.414,16,17,.941,2,42,22,4,5,13,12,90.5,102.3,101.7,.172,.247,.460,54.3,51.4,6.9,10.7,.414,12.3,20.0,.161,.518,12.3,95.2,.188
33,2016-12-31,@,HOU,L,122,129,47,105,.448,10,32,.313,18,25,.720,13,48,21,7,3,7,20,42,92,.457,21,55,.382,24,29,.828,10,46,30,3,2,13,20,116.1,122.7,105.1,.238,.305,.526,51.1,44.7,6.7,8.1,.495,5.7,26.5,.171,.571,11.0,77.8,.261
34,2017-01-02,,ORL,L,103,115,39,83,.470,8,21,.381,17,24,.708,16,46,18,7,5,18,17,45,91,.495,15,31,.484,10,14,.714,13,39,35,10,4,12,20,110.5,123.4,93.2,.289,.253,.550,54.1,46.2,7.5,8.3,.518,16.1,38.1,.205,.577,11.0,69.8,.110
35,2017-01-04,,MIL,L,104,105,42,94,.447,13,28,.464,7,12,.583,15,46,26,9,3,13,19,37,78,.474,9,28,.321,22,31,.710,7,42,20,7,5,13,15,109.2,110.3,95.2,.128,.298,.524,52.3,61.9,9.5,6.0,.516,11.6,30.0,.074,.532,12.4,81.6,.282
36,2017-01-06,@,MIL,W,116,111,41,83,.494,13,23,.565,21,27,.778,11,40,29,5,6,14,21,39,78,.500,12,22,.545,21,28,.750,6,35,24,9,11,14,19,121.2,115.9,95.7,.325,.277,.611,53.3,70.7,5.2,10.7,.572,12.9,27.5,.253,.577,13.4,82.9,.269
37,2017-01-07,@,IND,L,109,123,40,87,.460,12,31,.387,17,24,.708,6,32,25,9,7,17,24,43,86,.500,11,24,.458,26,28,.929,12,53,25,11,0,19,23,104.4,117.8,104.4,.276,.356,.559,37.6,62.5,8.6,11.3,.529,14.8,12.8,.195,.564,16.2,68.4,.302
38,2017-01-09,,NOP,L,96,110,36,85,.424,11,29,.379,13,16,.813,12,45,17,5,4,14,18,41,84,.488,12,27,.444,16,19,.842,8,39,24,11,7,8,14,105.8,121.3,90.7,.188,.341,.522,53.6,47.2,5.5,7.0,.488,13.2,27.9,.153,.560,8.0,80.5,.190
39,2017-01-11,@,PHI,L,97,98,42,86,.488,4,22,.182,9,10,.900,8,40,20,7,8,13,22,37,95,.389,7,28,.250,17,21,.810,18,47,27,7,1,14,12,103.3,104.3,93.9,.116,.256,.537,46.0,47.6,7.5,11.9,.512,12.6,21.6,.105,.426,11.8,64.0,.179
40,2017-01-12,,CHI,W,104,89,44,92,.478,7,23,.304,9,11,.818,17,48,21,3,7,12,17,35,89,.393,3,18,.167,16,21,.762,14,43,20,5,4,12,12,115.0,98.4,90.4,.120,.250,.537,52.7,47.7,3.3,9.9,.516,11.0,37.0,.098,.410,10.9,68.9,.180
41,2017-01-15,@,TOR,L,101,116,35,84,.417,12,29,.414,19,27,.704,11,41,21,7,7,14,16,44,89,.494,8,22,.364,20,23,.870,10,42,21,9,4,10,20,105.5,121.1,95.8,.321,.345,.527,49.4,60.0,7.3,10.4,.488,12.7,25.6,.226,.539,9.2,75.0,.225
42,2017-01-16,,ATL,L,107,108,42,85,.494,8,26,.308,15,23,.652,15,53,21,8,3,18,22,40,87,.460,12,32,.375,16,23,.696,8,36,26,11,3,10,15,110.5,111.6,96.8,.271,.306,.562,59.6,50.0,8.3,5.5,.541,15.9,34.9,.176,.529,9.3,82.6,.184
43,2017-01-18,@,BOS,W,117,106,46,91,.505,10,25,.400,15,18,.833,18,57,27,2,8,14,24,35,91,.385,9,33,.273,27,29,.931,9,33,25,8,8,3,15,125.9,114.0,93.0,.198,.275,.591,63.3,58.7,2.2,13.8,.560,12.4,42.9,.165,.434,2.8,81.3,.297
44,2017-01-19,,WAS,L,110,113,42,90,.467,7,24,.292,19,22,.864,14,41,20,7,4,10,14,44,88,.500,13,32,.406,12,14,.857,10,40,29,7,5,15,19,116.8,120.0,94.2,.244,.267,.552,50.6,47.6,7.4,7.1,.506,9.1,31.8,.211,.574,13.7,73.0,.136
45,2017-01-21,,PHO,L,105,107,40,89,.449,11,21,.524,14,16,.875,15,46,20,6,3,12,20,37,85,.435,9,24,.375,24,27,.889,14,44,15,9,4,13,18,114.9,117.1,91.4,.180,.236,.547,51.1,50.0,6.6,4.9,.511,11.1,33.3,.157,.488,11.8,68.9,.282
46,2017-01-23,@,IND,W,109,103,35,76,.461,8,22,.364,31,35,.886,6,43,19,8,7,14,21,38,86,.442,7,26,.269,20,25,.800,7,37,18,7,4,11,20,111.5,105.4,97.8,.461,.289,.596,53.8,54.3,8.2,11.7,.513,13.3,16.7,.408,.483,10.2,84.1,.233
