G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-10-17,,HOU,L,121,122,43,80,.538,16,30,.533,19,21,.905,6,41,34,5,9,17,25,47,97,.485,15,41,.366,13,19,.684,10,43,28,9,5,12,16,118.6,119.6,102.0,.263,.375,.678,48.8,79.1,4.9,16.1,.638,16.0,15.4,.238,.562,10.2,77.8,.134
2,2017-10-20,@,NOP,W,128,120,47,92,.511,18,41,.439,16,20,.800,10,49,29,6,8,18,23,45,98,.459,16,36,.444,14,22,.636,16,51,26,8,4,17,19,119.3,111.8,107.3,.217,.446,.635,49.0,61.7,5.6,12.9,.609,15.2,22.2,.174,.541,13.6,70.9,.143
3,2017-10-21,@,MEM,L,101,111,33,84,.393,12,38,.316,23,27,.852,12,46,20,10,7,17,28,36,77,.468,10,27,.370,29,37,.784,6,40,20,8,4,14,25,102.7,112.8,98.4,.321,.452,.527,53.5,60.6,10.2,14.0,.464,15.1,26.1,.274,.532,13.0,85.0,.377
4,2017-10-23,@,DAL,W,133,103,48,86,.558,15,39,.385,22,26,.846,10,50,33,6,8,16,23,38,96,.396,9,29,.310,18,30,.600,14,42,21,11,0,12,20,129.4,100.2,102.8,.302,.453,.682,54.3,68.8,5.8,11.9,.645,14.1,26.3,.256,.443,9.9,74.1,.188
5,2017-10-25,,TOR,W,117,112,43,77,.558,12,26,.462,19,22,.864,6,37,32,10,7,17,15,43,94,.457,8,34,.235,18,19,.947,17,42,30,10,6,16,16,120.6,115.4,97.0,.286,.338,.675,46.8,74.4,10.3,11.7,.636,16.4,19.4,.247,.500,13.5,64.6,.191
6,2017-10-27,,WAS,W,120,117,46,95,.484,10,38,.263,18,20,.900,15,53,33,7,13,17,20,43,97,.443,15,33,.455,16,22,.727,12,41,30,7,6,14,21,115.4,112.5,104.0,.211,.400,.578,56.4,71.7,6.7,20.3,.537,14.1,34.1,.189,.521,11.6,76.0,.165
7,2017-10-29,,DET,L,107,115,44,77,.571,10,27,.370,9,12,.750,10,40,29,3,11,25,14,43,93,.462,12,27,.444,17,17,1.000,17,37,22,16,0,13,9,113.5,122.0,94.2,.156,.351,.650,51.9,65.9,3.2,16.7,.636,23.3,33.3,.117,.527,11.5,63.8,.183
8,2017-10-30,@,LAC,W,141,113,52,89,.584,14,29,.483,23,30,.767,14,46,37,8,8,12,23,39,86,.453,10,25,.400,25,30,.833,9,35,21,4,3,12,20,142.3,114.1,99.1,.337,.326,.690,56.8,71.2,8.1,13.1,.663,10.5,35.0,.258,.512,10.8,78.0,.291
9,2017-11-02,@,SAS,W,112,92,43,83,.518,14,28,.500,12,16,.750,5,41,30,11,12,14,20,34,87,.391,7,24,.292,17,23,.739,14,46,19,6,8,16,10,115.5,94.9,97.0,.193,.337,.622,47.1,69.8,11.3,19.0,.602,13.5,13.5,.145,.431,14.1,72.0,.195
10,2017-11-04,@,DEN,W,127,108,50,91,.549,18,40,.450,9,17,.529,7,41,38,13,4,13,23,40,87,.460,6,24,.250,22,27,.815,9,46,26,9,6,17,18,122.1,103.8,104.0,.187,.440,.645,47.1,76.0,12.5,6.3,.648,11.7,15.9,.099,.494,14.7,79.1,.253
